ID,Player,Team,Date,Opp,Fantasy_Score,predictions_2019
243,Horford,Boston Celtics,10/19/2018,TOR,20,15.49469827
244,Horford,Boston Celtics,10/20/2018,NYK,12,15.32504235
245,Horford,Boston Celtics,10/22/2018,ORL,17,14.47253951
246,Horford,Boston Celtics,10/25/2018,OKC,25,15.71916842
247,Horford,Boston Celtics,10/27/2018,DET,4,14.94284235
248,Horford,Boston Celtics,10/30/2018,DET,11,15.00297543
249,Horford,Boston Celtics,11/1/2018,MIL,26,17.16097517
250,Horford,Boston Celtics,11/3/2018,IND,16,17.39876844
251,Horford,Boston Celtics,11/5/2018,DEN,12,15.91335388
252,Horford,Boston Celtics,11/8/2018,PHO,9,16.99717007
253,Horford,Boston Celtics,11/9/2018,UTA,15,15.06688826
254,Horford,Boston Celtics,11/11/2018,POR,10,16.75607041
255,Horford,Boston Celtics,11/14/2018,CHI,14,13.03445765
256,Horford,Boston Celtics,11/16/2018,TOR,13,15.45253288
257,Horford,Boston Celtics,11/17/2018,UTA,11,16.38038319
258,Horford,Boston Celtics,11/19/2018,CHO,8,15.27066049
259,Horford,Boston Celtics,11/21/2018,NYK,23,14.88994448
260,Horford,Boston Celtics,11/24/2018,DAL,12,14.2758295
261,Horford,Boston Celtics,11/26/2018,NOP,26,11.93807916
262,Horford,Boston Celtics,12/1/2018,MIN,17,14.97326336
263,Horford,Boston Celtics,12/6/2018,NYK,19,15.93537405
264,Horford,Boston Celtics,12/23/2018,CHO,10,14.23272048
265,Horford,Boston Celtics,12/25/2018,PHI,4,15.33656433
266,Horford,Boston Celtics,12/27/2018,HOU,17,12.38234466
267,Horford,Boston Celtics,12/29/2018,MEM,28,13.87458651
268,Horford,Boston Celtics,12/31/2018,SAS,11,13.7556397
269,Horford,Boston Celtics,1/2/2019,MIN,17,14.70663718
270,Horford,Boston Celtics,1/4/2019,DAL,14,17.38081875
271,Horford,Boston Celtics,1/7/2019,BRK,12,13.46074726
272,Horford,Boston Celtics,1/9/2019,IND,6,15.58143664
273,Horford,Boston Celtics,1/10/2019,MIA,2,14.24951784
274,Horford,Boston Celtics,1/12/2019,ORL,10,14.71487657
275,Horford,Boston Celtics,1/14/2019,BRK,8,13.9746727
276,Horford,Boston Celtics,1/16/2019,TOR,30,13.70797571
277,Horford,Boston Celtics,1/18/2019,MEM,22,13.53623965
278,Horford,Boston Celtics,1/19/2019,ATL,15,16.09901
279,Horford,Boston Celtics,1/21/2019,MIA,16,13.58039313
280,Horford,Boston Celtics,1/26/2019,GSW,26,12.70847717
281,Horford,Boston Celtics,1/28/2019,BRK,14,13.46626185
282,Horford,Boston Celtics,1/30/2019,CHO,14,14.06355283
283,Horford,Boston Celtics,2/1/2019,NYK,14,14.65731825
284,Horford,Boston Celtics,2/3/2019,OKC,19,15.96280229
285,Horford,Boston Celtics,2/5/2019,CLE,11,15.86272375
286,Horford,Boston Celtics,2/7/2019,LAL,14,15.43026883
287,Horford,Boston Celtics,2/9/2019,LAC,6,16.76699212
288,Horford,Boston Celtics,2/12/2019,PHI,29,14.39481916
289,Horford,Boston Celtics,2/13/2019,DET,23,13.95384657
290,Horford,Boston Celtics,2/21/2019,MIL,25,16.18193131
291,Horford,Boston Celtics,2/23/2019,CHI,21,13.00586936
292,Horford,Boston Celtics,2/26/2019,TOR,8,17.53294651
293,Horford,Boston Celtics,2/27/2019,POR,15,15.05932857
294,Horford,Boston Celtics,3/1/2019,WAS,18,13.370286
295,Horford,Boston Celtics,3/3/2019,HOU,21,15.21998847
296,Horford,Boston Celtics,3/5/2019,GSW,7,15.98417481
297,Horford,Boston Celtics,3/6/2019,SAC,23,14.2329935
298,Horford,Boston Celtics,3/9/2019,LAL,10,14.67919539
299,Horford,Boston Celtics,3/11/2019,LAC,10,14.60260475
300,Horford,Boston Celtics,3/14/2019,SAC,14,14.58313345
301,Horford,Boston Celtics,3/16/2019,ATL,9,18.47173369
302,Horford,Boston Celtics,3/18/2019,DEN,28,13.55516289
303,Horford,Boston Celtics,3/20/2019,PHI,26,15.41337842
304,Horford,Boston Celtics,3/26/2019,CLE,19,14.7536818
305,Horford,Boston Celtics,3/29/2019,IND,21,15.60011973
306,Horford,Boston Celtics,4/1/2019,MIA,19,15.54816619
307,Horford,Boston Celtics,4/3/2019,MIA,23,14.14251718
308,Horford,Boston Celtics,4/5/2019,IND,13,15.41018227
309,Irving,Boston Celtics,10/19/2018,TOR,23,30.49020653
