
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
69,51,2018-03-12,19-299,OKC,,SAC,W (+5),0,10:53,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,1,1,0,3,1.7,+5
70,52,2018-03-13,19-300,OKC,@,ATL,W (+12),0,16:21,0,2,.000,0,0,,0,0,,1,2,3,1,0,1,0,0,0,1.3,-17
71,53,2018-03-16,19-303,OKC,,LAC,W (+8),0,17:28,4,6,.667,2,4,.500,2,2,1.000,0,0,0,0,3,0,0,2,12,11.6,+12
72,54,2018-03-18,19-305,OKC,@,TOR,W (+7),0,12:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-16
73,55,2018-03-20,19-307,OKC,@,BOS,L (-1),0,11:51,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+2
74,56,2018-03-23,19-310,OKC,,MIA,W (+6),0,16:57,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,0,0,1,3,3.0,+10
75,57,2018-03-25,19-312,OKC,,POR,L (-3),0,15:42,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,1,0,0,0,2,1.9,+4
76,58,2018-03-29,19-316,OKC,@,SAS,L (-4),0,13:53,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,0,2,3,0.5,-5
77,59,2018-03-30,19-317,OKC,,DEN,L (-1),0,5:53,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,1.3,-8
78,,2018-04-01,19-319,OKC,@,NOP,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,,2018-04-03,19-321,OKC,,GSW,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,,2018-04-07,19-325,OKC,@,HOU,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,60,2018-04-09,19-327,OKC,@,MIA,W (+22),0,9:39,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9,+8
82,61,2018-04-11,19-329,OKC,,MEM,W (+14),0,25:54,4,8,.500,4,8,.500,0,0,,0,2,2,2,1,0,0,3,12,9.8,+9
